record_type,file,column_order,field,group,workflow_order,value_type,possible_or_observed_values,meaning_or_note
FIELD,RMS_clean.csv,1,SR #,Identifier,,text,source row number,Source row identifier; values restart between RMS and RMS NFAR.
FIELD,RMS_clean.csv,2,Source,Referral,,code,C; E; M; SM; COI; O; I,How the referral originated.
FIELD,RMS_clean.csv,3,Referrer,Referral,,generic ID,Client###; Event###; CenterOfInfluence###,Sanitized referrer.
FIELD,RMS_clean.csv,4,Prospect,Referral,,generic ID,Prospect###,Sanitized referred prospect.
FIELD,RMS_clean.csv,5,Relationship,Referral,,code,F; R; C; S; O; W; SM; N/A; blank,Relationship between referrer and prospect.
FIELD,RMS_clean.csv,6,Associate,Referral,,generic ID,Associate###; N/A; blank,Firm associate responsible for the referral.
FIELD,RMS_clean.csv,7,Referral Date,Referral,,date,ISO date YYYY-MM-DD; blank,Date the referral was received.
FIELD,RMS_clean.csv,8,Added to Advisor Portal,Workflow,1,status or date,blank; TRUE; FALSE; N/A; NOT_RECEIVED; IN_PROGRESS; ISO date YYYY-MM-DD,Referral was added to the Advisor Portal.
FIELD,RMS_clean.csv,9,Connected to Referred Contact,Workflow,2,status or date,blank; TRUE; FALSE; N/A; NOT_RECEIVED; IN_PROGRESS; ISO date YYYY-MM-DD,Connection to the referred contact was recorded.
FIELD,RMS_clean.csv,10,Contact Prospect,Workflow,3,status or date,blank; TRUE; FALSE; N/A; NOT_RECEIVED; IN_PROGRESS; ISO date YYYY-MM-DD,Prospect contact was recorded.
FIELD,RMS_clean.csv,11,Discovery Package Sent,Workflow,4,status or date,blank; TRUE; FALSE; N/A; NOT_RECEIVED; IN_PROGRESS; ISO date YYYY-MM-DD,Discovery package was sent.
FIELD,RMS_clean.csv,12,Discovery Package Received,Workflow,5,status or date,blank; TRUE; FALSE; N/A; NOT_RECEIVED; IN_PROGRESS; ISO date YYYY-MM-DD,Discovery package was received.
FIELD,RMS_clean.csv,13,First Meeting Date,Workflow,6,date or status,blank; TRUE; FALSE; N/A; NOT_RECEIVED; IN_PROGRESS; ISO date YYYY-MM-DD,First meeting checkpoint.
FIELD,RMS_clean.csv,14,Final Status,Workflow,7,code,1; 2; 3; 4; 5; blank,Final outcome. Codes 3-5 identify NFAR records.
